圓藝企業股份有限公司	114臺北市內湖區基湖路35巷49號
國貿股份有限公司	114臺北市內湖區堤頂大道2段201號3樓
凱宏航空貨運承攬股份有限公司	114臺北市內湖區瑞光路618號9樓
善仁企業股份有限公司	114臺北市內湖區內湖路1段92號2樓之1
立盟全球供應鏈股份有限公司	114臺北市內湖區瑞光路76巷59號5樓
恆昶實業股份有限公司	114臺北市內湖區民權東路6段38號
源一通運股份有限公司	114臺北市內湖區洲子街70號2樓之1
雅安國際企業股份有限公司	114臺北市內湖區瑞光路298號3樓之1、之2
環宙航空貨運有限公司	114臺北市內湖區瑞光路258巷55號4樓
普合股份有限公司	114臺北市內湖區瑞湖街99號7樓
達友資訊服務股份有限公司	114臺北市內湖區瑞光路258巷2號10樓
上進視聽事業有限公司	114臺北市內湖區瑞光路34號3樓
康德克企業有限公司	114臺北市內湖區瑞光路478巷18弄20號4樓
歐橋國際股份有限公司	114臺北市內湖區基湖路35巷16號4樓之2
春積企業有限公司	114臺北市內湖區堤頂大道2段17號1樓
威健實業股份有限公司	114臺北市內湖區內湖路1段308號11樓
複成企業股份有限公司	114臺北市內湖區堤頂大道2段475號3樓
台灣國際標準電子股份有限公司	114臺北市內湖區堤頂大道2段409號8樓
順康貿易有限公司	114臺北市內湖區瑞光路583巷26號5樓
英光股份有限公司	114臺北市內湖區內湖路1段388號9樓
王記電子股份有限公司	114臺北市內湖區瑞光路478巷18弄30號3樓
唯林企業股份有限公司	114臺北市內湖區瑞光路208號7樓
海雁企業股份有限公司	114臺北市內湖區港墘路221巷41號5樓之2
汎浩股份有限公司	114臺北市內湖區瑞光路192號8樓之2
和騰國際有限公司	114臺北市內湖區內湖路1段360巷19號4樓
五力機電廠股份有限公司	114臺北市內湖區民權東路6段11巷25號
東鋼工業股份有限公司	114臺北市內湖區瑞光路358巷30弄12號7樓
晟銘電子科技股份有限公司	114臺北市內湖區民權東路6段27號2、3、4、5、6樓
佳商企業股份有限公司	114臺北市內湖區洲子街77號
嘉馬電子工業股份有限公司	114臺北市內湖區舊宗路2段97號
卓利電子股份有限公司	114臺北市內湖區洲子街103號3樓
建欣電科技股份有限公司	114臺北市內湖區洲子街103號3樓
百略醫學科技股份有限公司	114臺北市內湖區瑞光路431號9樓
唯運企業股份有限公司	114臺北市內湖區瑞光路192號10樓
維昌精密股份有限公司	114臺北市內湖區陽光街347號5樓之1
兆星國際有限公司	114臺北市內湖區瑞光路76巷33號6樓
頤坊企業有限公司	114臺北市內湖區洲子街100號4樓
長盛國際貿易股份有限公司	114臺北市內湖區陽光街321巷26號3樓之17
正育國際有限公司	114臺北市內湖區瑞光路66巷27號4樓
昌泰科技股份有限公司	114臺北市內湖區瑞光路2號3樓之1
三漢企業股份有限公司	114臺北市內湖區內湖路1段322號10樓
林克航空貨運代理股份有限公司	114臺北市內湖區瑞光路360號7樓
亞記營造工程股份有限公司	114臺北市內湖區內湖路1段388號8樓
汎新企業股份有限公司	114臺北市內湖區陽光街321巷18號
天工開發股份有限公司	114臺北市內湖區陽光街351號8樓之2
上儀股份有限公司	114臺北市內湖區民權東路6段15巷41號5樓
河歡興業有限公司	114臺北市內湖區瑞光路316巷58號3樓
聯郵企業股份有限公司	114臺北市內湖區洲子街196號4樓
中租迪和股份有限公司	114臺北市內湖區瑞光路362號8樓至12樓
喬暘電子股份有限公司	114臺北市內湖區瑞光路70號7樓
彬台科技股份有限公司	114臺北市內湖區瑞光路208號5樓
年代網際事業股份有限公司	114臺北市內湖區瑞湖街39號2樓
台灣前電電業股份有限公司	114臺北市內湖區瑞光路588號8樓
擎邦國際科技工程股份有限公司	114臺北市內湖區瑞光路210號5樓
華杏出版股份有限公司	114臺北市內湖區洲子街72號5樓
研華股份有限公司	114臺北市內湖區瑞光路26巷20弄1號
匯聯實業有限公司	114臺北市內湖區瑞湖街103號5樓之5
研湧科技有限公司	114臺北市內湖區瑞光路168號9樓
儀軍電線電纜股份有限公司	114臺北市內湖區洲子街52號6樓
同心工程事業股份有限公司	114臺北市內湖區洲子街79之1號5樓之1
歐鼎企業有限公司	114臺北市內湖區基湖路35巷13號2樓
三揚企業有限公司	114臺北市內湖區瑞光路513巷26號3樓之1
潗豐營造有限公司	114臺北市內湖區瑞光路408號6樓
世潮企業股份有限公司	114臺北市內湖區瑞光路607號8樓
六山股份有限公司	114臺北市內湖區洲子街106號6樓
立志企業有限公司	114臺北市內湖區瑞光路513巷36號9樓
台灣菊水膠帶股份有限公司	114臺北市內湖區瑞光路408號6樓之1
宏洲纖維工業股份有限公司	114臺北市內湖區瑞光路607號7樓
東盈實業股份有限公司	114臺北市內湖區洲子街73號6樓之1
安源資訊股份有限公司	114臺北市內湖區洲子街81號9樓
新燕實業股份有限公司	114臺北市內湖區內湖路1段512號3樓
榮泰紡織股份有限公司	114臺北市內湖區瑞光路188巷48號6樓
陸昌化工股份有限公司	114臺北市內湖區基湖路35巷22號8樓
谷暉企業有限公司	114臺北市內湖區瑞光路358巷38弄36號8樓
保昇機電工程股份有限公司	114臺北市內湖區瑞光路358巷30弄15號5樓
宜進實業股份有限公司	114臺北市內湖區瑞光路607號7樓
全球商業網股份有限公司	114臺北市內湖區堤頂大道2段501號6樓
六合安全工程有限公司	114臺北市內湖區瑞光路76巷41號3樓
六輝貿易股份有限公司	114臺北市內湖區洲子街62號7樓
漢岱實業股份有限公司	114臺北市內湖區瑞光路618號5樓
三儷有限公司	114臺北市內湖區內湖路1段360巷10號5樓之1
好格實業股份有限公司	114臺北市內湖區陽光街345巷5號4樓
尚基企業有限公司	114臺北市內湖區瑞光路605號5樓
遠東精密化學股份有限公司	114臺北市內湖區瑞光路258巷55號5樓之1
辰留企業股份有限公司	114臺北市內湖區瑞光路513巷22弄5號7樓
開成興業股份有限公司	114臺北市內湖區內湖路1段120巷18號7樓
萊麗美容專業有限公司	114臺北市內湖區瑞光路513巷22弄5號7樓之1
超固企業有限公司	114臺北市內湖區港墘路221巷19號6樓
尚立股份有限公司	114臺北市內湖區洲子街76號6樓
寶楠生技股份有限公司	114臺北市內湖區瑞光路258巷50號3樓
美佳娜興業有限公司	114臺北市內湖區瑞光路188巷48號2樓
航豪企業有限公司	114臺北市內湖區瑞光路513巷33號3樓
技高工業股份有限公司	114臺北市內湖區內湖路1段516號7樓
山記實業股份有限公司	114臺北市內湖區瑞光路66巷30號1、2樓
元利儀器股份有限公司	114臺北市內湖區陽光街365巷39號6樓
元佑實業股份有限公司	114臺北市內湖區陽光街365巷37號5樓
天行空運代理股份有限公司	114臺北市內湖區瑞光路188巷45號8樓
世全股份有限公司	114臺北市內湖區陽光街351號4樓之3
瑞可運通股份有限公司	114臺北市內湖區陽光街345巷10號4樓
安平旅行社股份有限公司	114臺北市內湖區洲子街70號2樓之1
汎達股份有限公司	114臺北市內湖區陽光街351號3樓
利峰投資股份有限公司	114臺北市內湖區瑞光路70號3樓
格威傳媒股份有限公司	114臺北市內湖區陽光街321巷56號5樓
昌隆貿易股份有限公司	114臺北市內湖區基湖路37號12樓
信孚產業股份有限公司	114臺北市內湖區瑞光路408號7樓
信宏貿易股份有限公司	114臺北市內湖區港墘路208號7樓
恆隆行投資股份有限公司	114臺北市內湖區洲子街88號7樓之1
國華琺瑯製衣機械工業股份有限公司	114臺北市內湖區基湖路3巷45號7、8樓
通全印刷有限公司	114臺北市內湖區瑞湖街161號1樓
富祺實業股份有限公司	114臺北市內湖區洲子街60號6樓
華夏海灣塑膠股份有限公司	114臺北市內湖區基湖路37號12樓
華都霓虹廠有限公司	114臺北市內湖區瑞光路583巷31號4樓
惠台實業股份有限公司	114臺北市內湖區瑞光路212號9樓
萬昌電器有限公司	114臺北市內湖區瑞光路513巷31號
台灣德迅國際運輸股份有限公司	114臺北市內湖區內湖路1段246號10樓
嘉益螺絲股份有限公司	114臺北市內湖區陽光街355號
台達化學工業股份有限公司	114臺北市內湖區基湖路37號12樓
臺灣慎昌行股份有限公司	114臺北市內湖區堤頂大道2段413號3樓
聯成棉業有限公司	114臺北市內湖區基湖路3巷68號
聯成實業股份有限公司	114臺北市內湖區陽光街381號6樓
鴻祥工程股份有限公司	114臺北市內湖區瑞光路212號5樓
豐潤有限公司	114臺北市內湖區瑞湖街178巷17號
天霖企業股份有限公司	114臺北市內湖區基湖路10巷50號5樓
龍翰興業股份有限公司	114臺北市內湖區民權東路6段18號2樓
金殷有限公司	114臺北市內湖區民權東路6段15巷16號5樓之1
民舜企業股份有限公司	114臺北市內湖區瑞光路168號6樓
是佳運動器材股份有限公司	114臺北市內湖區民權東路6段18之3號5樓
施懷哲股份有限公司	114臺北市內湖區內湖路1段120巷16號4樓
宏毅科技工業有限公司	114臺北市內湖區堤頂大道2段15號8樓之2
東源實業股份有限公司	114臺北市內湖區內湖路1段388號6樓
統一數位翻譯股份有限公司	114臺北市內湖區民權東路6段23號6樓之2
中華票券金融股份有限公司	114臺北市內湖區堤頂大道2段99號4樓
亞翔工程股份有限公司	114臺北市內湖區內湖路1段120巷17號5樓
楷盈實業股份有限公司	114臺北市內湖區瑞光路478巷22號3樓
嘉瀅企業有限公司	114臺北市內湖區基湖路35巷49號4樓之1
元寶實業股份有限公司	114臺北市內湖區瑞湖街182號
淦杰企業有限公司	114臺北市內湖區洲子街75號6樓之1
聯逢股份有限公司	114臺北市內湖區內湖路1段360巷15號7樓之1
祐僑股份有限公司	114臺北市內湖區內湖路1段392號11樓
名格文化印刷設計事業有限公司	114臺北市內湖區瑞光路76巷45號2樓
基準科技有限公司	114臺北市內湖區基湖路10巷52號1樓
恆電股份有限公司	114臺北市內湖區內湖路1段360巷15號3樓
興社工業股份有限公司	114臺北市內湖區瑞光路8之1號
飛裕股份有限公司	114臺北市內湖區瑞光路618號9樓之1
安傳電子股份有限公司	114臺北市內湖區舊宗路2段171巷17號5樓
大江生醫股份有限公司	114臺北市內湖區港墘路187號8樓
伍將企業有限公司	114臺北市內湖區瑞光路76巷49號
和椿科技股份有限公司	114臺北市內湖區洲子街60號2樓
昌晟企業股份有限公司	114臺北市內湖區內湖路1段388號7樓
民暘股份有限公司	114臺北市內湖區瑞光路168號6樓
仕瀛實業有限公司	114臺北市內湖區瑞光路258巷2號3樓之1
瑞坤股份有限公司	114臺北市內湖區陽光街345巷10號4樓
培基數碼股份有限公司	114臺北市內湖區瑞光路583巷21號5樓之5
傳倫投資股份有限公司	114臺北市內湖區瑞光路206號5樓
裕華企業管理顧問有限公司	114臺北市內湖區民權東路6段16之2號2樓
宇力工程有限公司	114臺北市內湖區瑞湖街178巷17號5樓
宇聲製衣股份有限公司	114臺北市內湖區基湖路35巷16號2樓
安德美運通股份有限公司	114臺北市內湖區瑞光路66巷23號3樓
全國公證檢驗股份有限公司	114臺北市內湖區瑞光路417號5樓及6樓419號5樓、6樓、8樓、8樓之1、9樓、9樓之1、10樓、10樓之1、11樓、11樓之1、12樓、12樓之1、13樓、13樓之1、421號至423號之5樓、8樓、9樓、10樓、11樓、12樓、13樓
日晟股份有限公司	114臺北市內湖區基湖路39號6樓
宗洋企業有限公司	114臺北市內湖區瑞光路188巷50號3樓
富鉑實業股份有限公司	114臺北市內湖區瑞光路360號6樓之1
幸瑋企業有限公司	114臺北市內湖區瑞光路76巷35號2樓
祥皓有限公司	114臺北市內湖區港墘路221巷35號3樓之1
康和資訊系統股份有限公司	114臺北市內湖區瑞光路318號5樓
怡昌投資股份有限公司	114臺北市內湖區瑞光路358巷30弄3號7樓之1
勝昱科技股份有限公司	114臺北市內湖區港墘路221巷33號8樓
頌泰股份有限公司	114臺北市內湖區內湖路1段360巷8號3樓
立威資訊股份有限公司	114臺北市內湖區洲子街110號9樓
德資股份有限公司	114臺北市內湖區瑞光路550號5樓
匯揚百貨事業有限公司	114臺北市內湖區陽光街383號7樓
宗鑫貿易有限公司	114臺北市內湖區堤頂大道2段295號3樓
安惠實業股份有限公司	114臺北市內湖區洲子街81號6樓
梅嶺貿易股份有限公司	114臺北市內湖區瑞光路439號6樓
河洛半導體股份有限公司	114臺北市內湖區瑞光路76巷20、22號4樓
捷迅股份有限公司	114臺北市內湖區瑞光路34號4樓
伊芙巴黎左岸股份有限公司	114臺北市內湖區洲子街75號11、12樓
義昇電氣有限公司	114臺北市內湖區瑞光路258巷54號
運達股份有限公司	114臺北市內湖區瑞光路26巷20弄25號1樓
昆愛企業有限公司	114臺北市內湖區內湖路1段320號3樓
利碩貿易股份有限公司	114臺北市內湖區陽光街321巷8號6樓
邁克威股份有限公司	114臺北市內湖區瑞光路316巷56號8樓
俊欣行股份有限公司	114臺北市內湖區舊宗路2段135巷16號
池袋股份有限公司	114臺北市內湖區洲子街194號2樓、2樓之1、196號1、2樓
茉爾企業有限公司	114臺北市內湖區洲子街69號4樓
昇紡有限公司	114臺北市內湖區瑞光路76巷67號3樓
建宏層析企業股份有限公司	114臺北市內湖區港墘路221巷19號5樓
泉鋼企業有限公司	114臺北市內湖區瑞光路513巷39號5樓
欣邑室內裝修工程股份有限公司	114臺北市內湖區洲子街76號8樓
怡先國際股份有限公司	114臺北市內湖區行忠路57號2樓
榮復國際有限公司	114臺北市內湖區瑞光路478巷18弄20號2樓
弘帆股份有限公司	114臺北市內湖區內湖路1段360巷17號5樓
瑞格有限公司	114臺北市內湖區陽光街345巷16號4樓
瓊安開發股份有限公司	114臺北市內湖區洲子街72、74、76號7樓
品樺國際股份有限公司	114臺北市內湖區內湖路1段388號8樓之3
敦新科技股份有限公司	114臺北市內湖區內湖路1段516號8樓
源流投資股份有限公司	114臺北市內湖區港墘路183號9樓
億中投資股份有限公司	114臺北市內湖區港墘路183號9樓
遠達事業有限公司	114臺北市內湖區內湖路1段250號12樓
藝動網科技股份有限公司	114臺北市內湖區瑞光路258巷56號6樓
弘諺科技股份有限公司	114臺北市內湖區瑞光路408號3樓之1
紐澳德數位科技股份有限公司	114臺北市內湖區基湖路35巷11號9樓
司馬特科技股份有限公司	114臺北市內湖區陽光街345巷10號5樓
亞克米科技股份有限公司	114臺北市內湖區瑞光路258巷2號7樓
睿聯生醫有限公司	114臺北市內湖區港墘路187號9樓
高美斯國際流通有限公司	114臺北市內湖區堤頂大道2段285之1號2樓
光柵科技有限公司	114臺北市內湖區洲子街76號4樓
千金投資股份有限公司	114臺北市內湖區瑞光路513巷26號4樓之1
遠達全球通訊股份有限公司	114臺北市內湖區瑞光路188巷52號5樓
都市生活廣告有限公司	114臺北市內湖區瑞光路266號8樓
啟隆投資有限公司	114臺北市內湖區瑞光路26巷20弄25號4樓
納米材料有限公司	114臺北市內湖區瑞光路76巷67號4樓
裕尚有限公司	114臺北市內湖區瑞光路358巷30弄2號6樓
宗堡股份有限公司	114臺北市內湖區瑞光路478巷18弄30號2樓
韶瑞開發股份有限公司	114臺北市內湖區基湖路35巷49號6樓之1
財宏科技股份有限公司	114臺北市內湖區瑞光路208號2樓
華騰國際科技股份有限公司	114臺北市內湖區堤頂大道2段185號10樓
捷記有限公司	114臺北市內湖區堤頂大道2段477號8樓之1
承遠科技股份有限公司	114臺北市內湖區瑞光路66巷27號3樓
友詮國際股份有限公司	114臺北市內湖區瑞湖街178巷25號3樓
艾慕思生物科技股份有限公司	114臺北市內湖區洲子街46號6樓
集智達科技股份有限公司	114臺北市內湖區民權東路6段11巷43之1號4樓
懷康科技股份有限公司	114臺北市內湖區內湖路1段388號5樓之1
八樂企業股份有限公司	114臺北市內湖區瑞湖街199號5樓
亞立田股份有限公司	114臺北市內湖區港墘路221巷41號6樓之1
承科實業有限公司	114臺北市內湖區民權東路6段15巷16號3樓之2
世駿電子股份有限公司	114臺北市內湖區瑞光路586號6樓
心安公寓大廈管理維護有限公司	114臺北市內湖區瑞光路66巷23號5樓
禾伸堂生技股份有限公司	114臺北市內湖區內湖路1段88號4樓
亮發科技股份有限公司	114臺北市內湖區瑞光路639號2樓
友德國際股份有限公司	114臺北市內湖區瑞湖街103號6樓
光寶匯才資訊服務股份有限公司	114臺北市內湖區瑞光路392號8樓
宗信燦股份有限公司	114臺北市內湖區基湖路35巷13號3樓
元邦建設開發股份有限公司	114臺北市內湖區內湖路1段396號12樓
大紀元時報股份有限公司	114臺北市內湖區瑞湖街36號2樓
運立國際有限公司	114臺北市內湖區基湖路35巷16號4樓
木鄉國際投資股份有限公司	114臺北市內湖區洲子街83號6樓
獵傑管理顧問有限公司	114臺北市內湖區瑞光路441號6樓
台聚管理顧問股份有限公司	114臺北市內湖區基湖路37號12樓
寶盛開發股份有限公司	114臺北市內湖區瑞光路26巷36弄8號4樓
寰亞行銷服務股份有限公司	114臺北市內湖區洲子街100號10樓
福又達生物科技股份有限公司	114臺北市內湖區內湖路1段120巷16號4樓
伯洋營造有限公司	114臺北市內湖區瑞光路194號
鴻洋投資股份有限公司	114臺北市內湖區基湖路35巷49號6樓之1
捷達威數位科技股份有限公司	114臺北市內湖區瑞湖街111號
新鎧科技股份有限公司	114臺北市內湖區舊宗路2段181巷16號2樓
進盈投資股份有限公司	114臺北市內湖區洲子街48號3樓
上瀚科技股份有限公司	114臺北市內湖區洲子街196號9樓
席克空間設計有限公司	114臺北市內湖區內湖路1段316號1樓
鴻興國際興業有限公司	114臺北市內湖區瑞光路76巷41號1樓
森積科技有限公司	114臺北市內湖區陽光街347號4樓之1
冠雅國際有限公司	114臺北市內湖區瑞光路607號4樓
上金投資股份有限公司	114臺北市內湖區瑞光路513巷26號4樓之1
福億通訊股份有限公司	114臺北市內湖區瑞光路112巷1號3樓
眾志美術出版社股份有限公司	114臺北市內湖區洲子街50號6樓
乙泰小客車租賃有限公司	114臺北市內湖區瑞光路76巷107號1樓
安豐紡織股份有限公司	114臺北市內湖區瑞光路580號7樓
偉淂投資有限公司	114臺北市內湖區內湖路1段120巷13號6樓
宏力投資股份有限公司	114臺北市內湖區洲子街50號3樓
金柏投資股份有限公司	114臺北市內湖區洲子街77號7樓
橡寶有限公司	114臺北市內湖區內湖路1段392號3樓
楷賢光電科技有限公司	114臺北市內湖區舊宗路2段109號2樓
皇冠開發科技股份有限公司	114臺北市內湖區民權東路6段11巷41號1樓
鐫實行銷服務股份有限公司	114臺北市內湖區基湖路35巷6號6樓
正道建設有限公司	114臺北市內湖區內湖路1段66號5樓
歐柏醫療器材有限公司	114臺北市內湖區洲子街79號3樓之1
新弘投資股份有限公司	114臺北市內湖區洲子街50號3樓
鑫瑩科技有限公司	114臺北市內湖區陽光街345巷12號6樓
成道投資有限公司	114臺北市內湖區內湖路1段66號5樓
悟道投資有限公司	114臺北市內湖區內湖路1段66號5樓
祥菖網路有限公司	114臺北市內湖區瑞光路192號9樓之1
宇通達科技股份有限公司	114臺北市內湖區瑞光路34號6樓
台灣亞太環通海纜股份有限公司	114臺北市內湖區瑞光路415號4樓
堤頂電子股份有限公司	114臺北市內湖區堤頂大道2段15號5樓之1
東泰金屬工程有限公司	114臺北市內湖區基湖路35巷22號10樓之1
盈碼科技股份有限公司	114臺北市內湖區內湖路1段252號7樓
墨色國際股份有限公司	114臺北市內湖區瑞光路300號4樓
亞瑪影像科技有限公司	114臺北市內湖區洲子街65號2樓
達德阜有限公司	114臺北市內湖區洲子街106號4樓
統智科技股份有限公司	114臺北市內湖區瑞湖街17、19號4樓
加科有限公司	114臺北市內湖區基湖路35巷16號7樓之1
艾力得國際會議顧問股份有限公司	114臺北市內湖區堤頂大道2段285號4樓
研勤科技股份有限公司	114臺北市內湖區港墘路200號4樓
克立歐電子有限公司	114臺北市內湖區瑞光路192號4樓
今暉興業有限公司	114臺北市內湖區基湖路35巷51號3樓之1
山鳴投資有限公司	114臺北市內湖區內湖路1段306號8樓之1
錞錞投資有限公司	114臺北市內湖區內湖路1段306號8樓之2
邕舜國際貿易有限公司	114臺北市內湖區瑞光路76巷65號4樓
永茂空調設備有限公司	114臺北市內湖區民權東路6段13之22號3樓
慈佑國際股份有限公司	114臺北市內湖區瑞湖街199號2樓
悅多影像製作股份有限公司	114臺北市內湖區瑞光路34號3樓
愛勝遊戲股份有限公司	114臺北市內湖區基湖路3巷9號5樓之3
豐利國際股份有限公司	114臺北市內湖區內湖路1段300號7樓
杏捷有限公司	114臺北市內湖區民權東路6段15巷16號3樓
馳尚投資股份有限公司	114臺北市內湖區洲子街48號3樓
仁鈞有限公司	114臺北市內湖區瑞光路362號3樓
達利管理顧問股份有限公司	114臺北市內湖區基湖路12號
瑞通有限公司	114臺北市內湖區陽光街345巷16號4樓
邁威爾科技有限公司	114臺北市內湖區堤頂大道2段407巷20弄1號2樓
飛行國際視聽股份有限公司	114臺北市內湖區基湖路10巷52號5樓
台灣康貝股份有限公司	114臺北市內湖區內湖路1段360巷6號6樓
訊翔科技有限公司	114臺北市內湖區內湖路1段360巷10號5樓
維鈦光電科技股份有限公司	114臺北市內湖區瑞光路358巷30弄12號
弘鄴科技有限公司	114臺北市內湖區瑞湖街101號7樓
世領投資股份有限公司	114臺北市內湖區洲子街77號7樓
崧旭資訊股份有限公司	114臺北市內湖區洲子街71號5樓
輔翼科技股份有限公司	114臺北市內湖區瑞光路437號6樓
威加國際股份有限公司	114臺北市內湖區瑞光路30號2樓
亞億營造股份有限公司	114臺北市內湖區民權東路6段21巷31號4樓
樺宇科技貿易有限公司	114臺北市內湖區瑞光路112巷1號5樓
台灣良途股份有限公司	114臺北市內湖區內湖路1段360巷15號3樓
台湾洸洋電子股份有限公司	114臺北市內湖區瑞光路513巷22弄5號4樓
百穗傳播有限公司	114臺北市內湖區瑞光路66巷29號2樓
振鼎企業股份有限公司	114臺北市內湖區洲子街75號2樓
曜元科技有限公司	114臺北市內湖區洲子街80號7樓之1
晉速科技股份有限公司	114臺北市內湖區基湖路35巷6號5樓
城市地圖股份有限公司	114臺北市內湖區堤頂大道2段475號6樓
柏陞科技股份有限公司	114臺北市內湖區瑞光路358巷38弄36號6樓之1
弘敦科技有限公司	114臺北市內湖區民權東路6段11巷41-1號3樓
源富生物科技股份有限公司	114臺北市內湖區內湖路1段356號3樓
威力科技有限公司	114臺北市內湖區港墘路221巷41號7樓之3
義祥加油站有限公司	114臺北市內湖區舊宗路2段111號
創艦科技股份有限公司	114臺北市內湖區瑞光路358巷30弄1號10樓
賀沛生化科技股份有限公司	114臺北市內湖區瑞光路513巷22弄5號7樓之2
達勝整合行銷股份有限公司	114臺北市內湖區瑞光路358巷30弄10號5樓
達富康國際有限公司	114臺北市內湖區內湖路1段314號9樓
亞諾法生技股份有限公司	114臺北市內湖區西湖里洲子街108號9樓
巴星達國際股份有限公司	114臺北市內湖區內湖路1段314號4樓
聯傑科技股份有限公司	114臺北市內湖區洲子街88號9樓之2
上達科技股份有限公司	114臺北市內湖區民權東路6段11巷37號4樓
佐邦股份有限公司	114臺北市內湖區基湖路10巷52號7樓
圖像科技股份有限公司	114臺北市內湖區民權東路6段15巷16號5樓
興三愛電子股份有限公司	114臺北市內湖區瑞光路583巷21號5樓之2
威眾室內裝修工程有限公司	114臺北市內湖區民權東路6段11巷39號2樓
長弘貿易股份有限公司	114臺北市內湖區瑞光路408號4樓之3
音利佳股份有限公司	114臺北市內湖區瑞光路76巷49號3樓
嘉宏服裝實業有限公司	114臺北市內湖區內湖路1段120巷17號
曜宏企業有限公司	114臺北市內湖區陽光街345巷14號4樓
松禾興業有限公司	114臺北市內湖區瑞光路192號8樓
愛睇電影製作股份有限公司	114臺北市內湖區基湖路3巷9號5樓之3
台灣賀利氏材料科技股份有限公司	114臺北市內湖區瑞光路408號4樓之5
華信軟體股份有限公司	114臺北市內湖區陽光街381號2樓
偉誠國際投資有限公司	114臺北市內湖區瑞光路513巷28號3樓
傳航投資有限公司	114臺北市內湖區內湖路1段66號5樓
智同紡織股份有限公司	114臺北市內湖區瑞光路188巷50號4樓
創造力國際事業有限公司	114臺北市內湖區瑞光路550號10樓
永磐資訊股份有限公司	114臺北市內湖區瑞光路478巷18弄22號3樓
萊茵商旅名店股份有限公司	114臺北市內湖區內湖路1段396號12樓
台灣移動通訊網路股份有限公司	114臺北市內湖區內湖路1段66號5樓
健伸科技股份有限公司	114臺北市內湖區洲子街79之1號4樓
慶揚資訊股份有限公司	114臺北市內湖區內湖路1段318號10樓
台灣雙人股份有限公司	114臺北市內湖區洲子街73號1樓
形砌室內裝修設計工程有限公司	114臺北市內湖區洲子街46號5樓
麒睿企業有限公司	114臺北市內湖區瑞光路8號4樓之1
和順發有限公司	114臺北市內湖區內湖路1段92號3樓之1
中租證券投資顧問股份有限公司	114臺北市內湖區堤頂大道2段407巷22號5樓之1
